trabajo,nivel_educativo,grupo_etario,estado_civil,total_contactos,total_conversiones,tasa_conversion_pct,duracion_media_minutos,promedio_contactos_por_cliente
student,basic.9y,18-29,single,89,35,39.33,4.78,1.93
student,Sin Información,18-29,single,107,43,40.19,4.9,2.0
student,basic.4y,18-29,single,23,8,34.78,5.11,1.78
student,basic.6y,18-29,single,12,7,58.33,5.38,1.58
student,high.school,18-29,single,316,104,32.91,4.52,1.99
admin.,high.school,18-29,single,418,76,18.18,4.56,2.59
blue-collar,basic.4y,18-29,married,75,4,5.33,4.65,2.32
blue-collar,basic.4y,18-29,single,71,3,4.23,3.88,2.86
blue-collar,basic.9y,18-29,single,308,24,7.79,4.57,2.46
blue-collar,high.school,18-29,single,122,18,14.75,5.17,2.16
entrepreneur,high.school,18-29,single,12,1,8.33,5.6,1.58
services,high.school,18-29,single,318,39,12.26,4.77,2.57
services,Sin Información,18-29,single,18,7,38.89,6.02,3.39
student,university.degree,18-29,single,93,18,19.35,4.62,2.28
technician,professional.course,18-29,single,251,41,16.33,4.31,2.31
technician,Sin Información,18-29,single,13,2,15.38,3.94,3.0
technician,university.degree,18-29,single,178,35,19.66,4.7,2.57
admin.,Sin Información,18-29,married,11,2,18.18,4.21,2.0
admin.,basic.9y,18-29,single,57,5,8.77,3.67,5.49
admin.,university.degree,18-29,single,624,138,22.12,4.17,2.37
blue-collar,basic.9y,18-29,married,281,17,6.05,4.49,2.4
housemaid,high.school,18-29,single,11,2,18.18,9.14,2.55
management,university.degree,18-29,single,111,18,16.22,4.26,2.05
self-employed,university.degree,18-29,single,92,12,13.04,3.92,2.32
services,basic.9y,18-29,single,46,1,2.17,4.03,2.26
services,professional.course,18-29,single,30,6,20.0,4.12,2.03
student,professional.course,18-29,single,24,12,50.0,3.67,1.88
unemployed,high.school,18-29,married,20,4,20.0,3.51,3.75
unemployed,high.school,18-29,single,29,7,24.14,3.58,2.17
admin.,high.school,18-29,married,203,22,10.84,4.29,2.69
blue-collar,professional.course,18-29,married,25,1,4.0,4.68,3.6
blue-collar,basic.6y,18-29,single,64,8,12.5,5.47,2.58
blue-collar,Sin Información,18-29,single,20,2,10.0,4.07,2.95
self-employed,professional.course,18-29,single,10,2,20.0,4.54,2.4
services,basic.9y,18-29,married,32,5,15.63,5.1,1.91
services,high.school,18-29,married,161,12,7.45,4.26,2.69
services,basic.4y,18-29,single,4,0,0.0,3.25,1.75
technician,basic.9y,18-29,married,21,2,9.52,5.51,1.86
technician,basic.9y,18-29,single,40,8,20.0,3.53,2.25
unemployed,university.degree,18-29,single,33,8,24.24,3.63,2.15
admin.,basic.9y,18-29,married,20,6,30.0,5.32,2.1
admin.,professional.course,18-29,married,16,1,6.25,5.68,2.13
admin.,professional.course,18-29,single,42,8,19.05,5.23,2.12
admin.,Sin Información,18-29,single,21,8,38.1,5.16,2.67
blue-collar,basic.6y,18-29,married,71,4,5.63,3.86,2.93
blue-collar,high.school,18-29,married,47,1,2.13,3.26,2.57
blue-collar,professional.course,18-29,single,24,4,16.67,6.58,2.96
entrepreneur,professional.course,18-29,married,11,0,0.0,5.55,2.18
entrepreneur,university.degree,18-29,married,18,0,0.0,4.74,2.22
housemaid,basic.4y,18-29,single,1,0,0.0,0.15,6.0
retired,professional.course,18-29,single,1,0,0.0,1.7,2.0
self-employed,basic.9y,18-29,single,5,0,0.0,2.07,4.4
technician,professional.course,18-29,married,91,12,13.19,4.23,2.86
technician,high.school,18-29,single,80,11,13.75,4.3,3.15
unemployed,basic.9y,18-29,single,8,2,25.0,3.9,2.63
admin.,university.degree,18-29,married,169,26,15.38,3.83,2.39
blue-collar,basic.9y,18-29,divorced,6,0,0.0,4.28,1.83
blue-collar,high.school,18-29,divorced,11,2,18.18,5.53,1.36
entrepreneur,university.degree,18-29,single,17,2,11.76,5.61,3.18
housemaid,basic.9y,18-29,married,6,0,0.0,4.32,2.67
management,basic.9y,18-29,married,6,0,0.0,2.55,3.5
management,Sin Información,18-29,married,1,0,0.0,1.55,5.0
management,university.degree,18-29,married,35,7,20.0,4.6,2.46
self-employed,Sin Información,18-29,single,4,2,50.0,6.46,3.0
services,professional.course,18-29,married,12,2,16.67,7.3,2.33
services,university.degree,18-29,single,41,5,12.2,3.56,2.59
Sin Información,university.degree,18-29,single,11,7,63.64,8.86,1.64
student,university.degree,18-29,married,13,1,7.69,3.49,2.31
technician,professional.course,18-29,divorced,13,1,7.69,3.52,3.0
technician,high.school,18-29,married,17,3,17.65,4.12,2.18
technician,Sin Información,18-29,married,5,0,0.0,4.0,1.8
technician,university.degree,18-29,married,60,5,8.33,3.77,2.48
technician,basic.6y,18-29,single,7,1,14.29,5.95,7.0
unemployed,university.degree,18-29,married,15,2,13.33,4.88,2.93
admin.,professional.course,18-29,divorced,4,0,0.0,10.47,2.75
admin.,university.degree,18-29,divorced,9,2,22.22,5.42,2.22
entrepreneur,basic.9y,18-29,single,3,0,0.0,3.42,1.67
entrepreneur,professional.course,18-29,single,3,0,0.0,6.68,1.0
housemaid,basic.4y,18-29,married,5,0,0.0,8.06,1.2
housemaid,basic.9y,18-29,single,2,0,0.0,8.57,4.5
management,basic.6y,18-29,married,2,0,0.0,2.53,1.5
management,basic.4y,18-29,single,2,0,0.0,1.71,2.5
self-employed,university.degree,18-29,divorced,6,3,50.0,3.02,2.0
self-employed,professional.course,18-29,married,11,3,27.27,5.55,1.73
self-employed,university.degree,18-29,married,39,4,10.26,3.24,2.03
services,basic.4y,18-29,divorced,1,0,0.0,10.02,1.0
services,high.school,18-29,divorced,26,2,7.69,3.88,2.23
services,basic.6y,18-29,single,8,1,12.5,4.56,2.13
student,high.school,18-29,married,4,0,0.0,1.43,2.0
technician,high.school,18-29,divorced,5,0,0.0,3.43,1.4
technician,university.degree,18-29,divorced,9,1,11.11,4.32,1.33
technician,university.degree,18-29,Sin Información,2,0,0.0,4.14,1.5
unemployed,professional.course,18-29,single,4,0,0.0,2.7,3.0
admin.,basic.9y,18-29,divorced,6,0,0.0,3.79,2.67
admin.,high.school,18-29,divorced,11,0,0.0,3.33,3.18
admin.,basic.4y,18-29,single,1,0,0.0,1.13,6.0
blue-collar,Sin Información,18-29,married,11,0,0.0,2.97,2.36
blue-collar,university.degree,18-29,married,4,0,0.0,2.34,6.25
blue-collar,university.degree,18-29,single,11,4,36.36,4.57,1.82
entrepreneur,basic.4y,18-29,married,10,0,0.0,5.89,2.2
entrepreneur,basic.9y,18-29,married,11,3,27.27,6.95,1.64
entrepreneur,Sin Información,18-29,married,1,0,0.0,3.23,3.0
housemaid,university.degree,18-29,married,4,0,0.0,3.11,2.0
housemaid,Sin Información,18-29,single,1,0,0.0,2.33,3.0
management,basic.9y,18-29,single,9,1,11.11,5.63,1.33
retired,high.school,18-29,single,1,0,0.0,8.47,1.0
self-employed,basic.4y,18-29,married,2,0,0.0,1.25,3.5
self-employed,high.school,18-29,married,5,0,0.0,3.55,4.6
services,basic.6y,18-29,divorced,4,0,0.0,3.14,6.5
services,professional.course,18-29,divorced,1,0,0.0,4.02,1.0
Sin Información,basic.9y,18-29,single,6,0,0.0,2.85,2.17
Sin Información,high.school,18-29,single,5,1,20.0,6.26,4.8
technician,Sin Información,18-29,divorced,2,0,0.0,3.1,2.5
technician,basic.6y,18-29,married,4,0,0.0,2.22,5.75
unemployed,basic.4y,18-29,married,4,1,25.0,4.76,2.75
unemployed,basic.9y,18-29,married,4,0,0.0,3.54,4.5
admin.,basic.6y,18-29,married,5,0,0.0,4.87,3.0
admin.,basic.6y,18-29,single,2,0,0.0,2.75,3.5
blue-collar,Sin Información,18-29,divorced,4,0,0.0,9.19,3.25
blue-collar,high.school,18-29,Sin Información,2,1,50.0,3.04,1.5
entrepreneur,university.degree,18-29,divorced,1,0,0.0,0.15,5.0
entrepreneur,high.school,18-29,married,8,1,12.5,8.42,2.0
housemaid,basic.6y,18-29,married,2,1,50.0,5.38,7.0
housemaid,high.school,18-29,married,9,1,11.11,4.32,4.0
housemaid,university.degree,18-29,single,3,1,33.33,2.59,3.67
management,high.school,18-29,single,5,0,0.0,2.45,2.6
management,professional.course,18-29,single,1,1,100.0,5.42,1.0
retired,basic.9y,18-29,single,1,0,0.0,2.02,1.0
self-employed,basic.9y,18-29,married,6,1,16.67,5.15,3.5
services,basic.6y,18-29,married,3,0,0.0,6.72,1.67
services,university.degree,18-29,married,6,1,16.67,4.88,1.33
student,Sin Información,18-29,divorced,1,0,0.0,0.15,1.0
unemployed,basic.6y,18-29,married,3,0,0.0,2.96,3.33
unemployed,basic.4y,18-29,single,6,1,16.67,3.81,1.67
blue-collar,basic.4y,18-29,divorced,6,1,16.67,8.12,1.83
housemaid,basic.6y,18-29,single,1,0,0.0,1.57,1.0
management,high.school,18-29,married,4,0,0.0,3.44,2.25
management,Sin Información,18-29,single,3,0,0.0,3.12,3.0
self-employed,high.school,18-29,single,2,0,0.0,3.34,4.5
services,Sin Información,18-29,married,9,0,0.0,3.37,1.78
Sin Información,Sin Información,18-29,single,2,1,50.0,11.42,1.0
unemployed,professional.course,18-29,married,5,3,60.0,3.5,4.8
admin.,Sin Información,18-29,divorced,1,0,0.0,3.7,1.0
admin.,professional.course,18-29,Sin Información,1,0,0.0,2.08,1.0
admin.,university.degree,18-29,Sin Información,1,0,0.0,4.4,2.0
blue-collar,basic.6y,18-29,divorced,1,0,0.0,4.53,2.0
entrepreneur,basic.9y,18-29,divorced,2,0,0.0,5.41,1.0
entrepreneur,basic.6y,18-29,married,5,0,0.0,3.98,3.6
entrepreneur,basic.4y,18-29,single,1,0,0.0,1.67,1.0
management,basic.9y,18-29,divorced,2,0,0.0,1.58,1.5
retired,basic.4y,18-29,single,1,0,0.0,5.23,7.0
self-employed,basic.6y,18-29,married,2,0,0.0,0.47,6.0
self-employed,Sin Información,18-29,married,1,0,0.0,2.08,2.0
Sin Información,university.degree,18-29,married,1,0,0.0,4.7,2.0
technician,high.school,18-29,Sin Información,3,0,0.0,4.76,1.67
unemployed,high.school,18-29,divorced,2,0,0.0,2.28,1.5
unemployed,university.degree,18-29,divorced,2,0,0.0,4.29,2.5
admin.,basic.6y,30-39,divorced,3,0,0.0,6.56,4.33
admin.,high.school,30-39,divorced,174,8,4.6,3.98,2.88
admin.,university.degree,30-39,divorced,229,24,10.48,4.0,2.51
admin.,basic.6y,30-39,married,38,2,5.26,4.25,3.34
admin.,basic.9y,30-39,married,73,1,1.37,4.02,2.11
admin.,high.school,30-39,married,756,72,9.52,4.21,2.51
admin.,professional.course,30-39,married,82,10,12.2,4.13,2.29
admin.,Sin Información,30-39,married,29,2,6.9,3.35,2.9
admin.,university.degree,30-39,married,1426,195,13.67,4.27,2.59
admin.,basic.9y,30-39,single,50,5,10.0,4.61,2.6
